192.168.145.237,2,0.2378575,192.168.191.107,"[0.16413666666666665, 0.00282499999999995, 0.019135, 0.01963, 0.006411]"
192.168.145.237,2,0.2378575,192.168.191.107,"[0.16413666666666665, 0.00282499999999995, 0.019135, 0.01963, 0.006411]"
192.168.145.237,2,0.2378575,192.168.191.107,"[0.16413666666666665, 0.00282499999999995, 0.019135, 0.01963, 0.006411]"
192.168.191.107,7,0.0035125,192.168.31.25,"[0.2378575, 0.0201025, 0.0050475, 0.0040783333333333, 0.00580125, 0.10525125]"
192.168.31.25,0,0.0004625,192.168.170.212,"[0.0035125, 0.0101475, 0.00270874999999995]"
192.168.145.237,2,0.0004625,192.168.170.212,"[0.16413666666666665, 0.00282499999999995, 0.019135, 0.01963, 0.006411]"
192.168.145.237,2,0.2378575,192.168.191.107,"[0.16413666666666665, 0.00282499999999995, 0.019135, 0.01963, 0.006411]"
192.168.191.107,7,0.0035125,192.168.31.25,"[0.2378575, 0.0201025, 0.0050475, 0.0040783333333333, 0.00580125, 0.10525125]"
192.168.145.237,2,0.2378575,192.168.191.107,"[0.16413666666666665, 0.00282499999999995, 0.019135, 0.01963, 0.006411]"
192.168.191.107,7,0.0035125,192.168.31.25,"[0.2378575, 0.0201025, 0.0050475, 0.0040783333333333, 0.00580125, 0.10525125]"
192.168.145.237,2,0.2378575,192.168.191.107,"[0.16413666666666665, 0.00282499999999995, 0.019135, 0.01963, 0.006411]"
192.168.145.237,2,0.2378575,192.168.191.107,"[0.16413666666666665, 0.00282499999999995, 0.019135, 0.01963, 0.006411]"
192.168.191.107,7,0.0035125,192.168.31.25,"[0.2378575, 0.0201025, 0.0050475, 0.0040783333333333, 0.00580125, 0.10525125]"
192.168.145.237,2,0.0503583333333333,192.168.165.135,"[0.16413666666666665, 0.00282499999999995, 0.019135, 0.01963, 0.006411]"
192.168.165.135,6,0.00795,192.168.39.231,[0.0503583333333333]
192.168.145.237,2,0.0503583333333333,192.168.165.135,"[0.16413666666666665, 0.00282499999999995, 0.019135, 0.01963, 0.006411]"
192.168.165.135,6,0.00795,192.168.39.231,[0.0503583333333333]
