episode,steps,step_entities
7,1,"[{'attacker_node': '192.168.10.236', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
7,2,"[{'attacker_node': '192.168.55.255', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
7,3,"[{'attacker_node': '192.168.218.50', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
7,4,"[{'attacker_node': '192.168.219.14', 'nifr_nodes': ['192.168.171.85', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
7,5,"[{'attacker_node': '192.168.92.227', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
7,6,"[{'attacker_node': '192.168.171.85', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
7,7,"[{'attacker_node': '192.168.40.75', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
7,8,"[{'attacker_node': '192.168.54.250', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
7,9,"[{'attacker_node': '192.168.62.155', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
7,10,"[{'attacker_node': '192.168.62.155', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
8,1,"[{'attacker_node': '192.168.3.56', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
8,2,"[{'attacker_node': '192.168.127.145', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
8,3,"[{'attacker_node': '192.168.219.14', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
8,4,"[{'attacker_node': '192.168.213.192', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
8,5,"[{'attacker_node': '192.168.10.236', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
8,6,"[{'attacker_node': '192.168.110.61', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
8,7,"[{'attacker_node': '192.168.110.61', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
9,1,"[{'attacker_node': '192.168.219.14', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
9,2,"[{'attacker_node': '192.168.87.212', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
9,3,"[{'attacker_node': '192.168.92.227', 'nifr_nodes': ['192.168.126.240', '192.168.188.82'], 'nicr_nodes': ['192.168.110.61']}]"
9,4,"[{'attacker_node': '192.168.127.145', 'nifr_nodes': ['192.168.55.255', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
9,5,"[{'attacker_node': '192.168.127.145', 'nifr_nodes': ['192.168.55.255', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
10,1,"[{'attacker_node': '192.168.241.129', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
10,2,"[{'attacker_node': '192.168.62.155', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
10,3,"[{'attacker_node': '192.168.65.45', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
10,4,"[{'attacker_node': '192.168.180.124', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
10,5,"[{'attacker_node': '192.168.65.45', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
10,6,"[{'attacker_node': '192.168.62.155', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
10,7,"[{'attacker_node': '192.168.65.45', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
10,8,"[{'attacker_node': '192.168.219.14', 'nifr_nodes': ['192.168.241.129', '192.168.92.227'], 'nicr_nodes': ['192.168.110.61']}]"
10,9,"[{'attacker_node': '192.168.110.28', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
10,10,"[{'attacker_node': '192.168.65.45', 'nifr_nodes': ['192.168.55.255', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
10,11,"[{'attacker_node': '192.168.190.122', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
