attacker_node,nifr_nodes,nicr_nodes,nodes,edges,episode
192.168.79.248,['192.168.144.112'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",41
192.168.79.248,['192.168.151.209'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",42
192.168.114.237,['192.168.144.112'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",43
192.168.57.38,['192.168.151.209'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",44
192.168.17.24,['192.168.151.209'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",45
192.168.114.237,['192.168.151.209'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",46
192.168.114.237,['192.168.151.209'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",47
192.168.114.237,['192.168.144.112'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",48
192.168.57.38,['192.168.151.209'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",49
192.168.114.237,['192.168.144.112'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",50
192.168.144.112,['192.168.151.209'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",51
192.168.114.237,['192.168.144.112'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",52
192.168.144.112,['192.168.144.112'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",53
192.168.57.38,['192.168.144.112'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",54
192.168.114.237,['192.168.144.112'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",55
192.168.114.237,['192.168.144.112'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",56
192.168.241.105,['192.168.79.248'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",57
192.168.17.24,['192.168.151.209'],['192.168.241.105'],"['192.168.151.209', '192.168.79.248', '192.168.114.237', '192.168.57.38', '192.168.241.105', '192.168.17.24', '192.168.103.221', '192.168.144.112']","[('192.168.151.209', '192.168.144.112'), ('192.168.151.209', '192.168.114.237'), ('192.168.151.209', '192.168.79.248'), ('192.168.151.209', '192.168.57.38'), ('192.168.151.209', '192.168.17.24'), ('192.168.79.248', '192.168.17.24'), ('192.168.79.248', '192.168.103.221'), ('192.168.114.237', '192.168.241.105'), ('192.168.114.237', '192.168.79.248'), ('192.168.114.237', '192.168.151.209'), ('192.168.114.237', '192.168.17.24'), ('192.168.57.38', '192.168.241.105'), ('192.168.57.38', '192.168.79.248'), ('192.168.57.38', '192.168.151.209'), ('192.168.57.38', '192.168.17.24'), ('192.168.57.38', '192.168.114.237'), ('192.168.57.38', '192.168.103.221'), ('192.168.241.105', '192.168.79.248'), ('192.168.241.105', '192.168.57.38'), ('192.168.241.105', '192.168.114.237'), ('192.168.241.105', '192.168.17.24'), ('192.168.241.105', '192.168.103.221'), ('192.168.17.24', '192.168.114.237'), ('192.168.17.24', '192.168.57.38'), ('192.168.17.24', '192.168.103.221'), ('192.168.17.24', '192.168.79.248'), ('192.168.103.221', '192.168.144.112'), ('192.168.103.221', '192.168.79.248'), ('192.168.103.221', '192.168.151.209'), ('192.168.103.221', '192.168.17.24'), ('192.168.144.112', '192.168.103.221'), ('192.168.144.112', '192.168.114.237')]",58
